Date,Consumption
2012-05-15,104655.6845
2012-05-16,105076.9805
2012-05-17,105910.761
2012-05-18,106127.0794
2012-05-19,106198.0588
2012-05-20,106201.9456
2012-05-21,106203.3505
2012-05-22,106208.1
2012-05-23,106715.2052
2012-05-24,106988.9151
2012-05-25,107410.6429
2012-05-26,107747.0155
2012-05-27,107748.7789
2012-05-28,107744.345
2012-05-29,107925.0808
2012-05-30,108134.7655
2012-05-31,108226.0339
2012-06-01,108768.9876
2012-06-02,109429.0217
2012-06-03,109428.1121
2012-06-04,109432.6708
2012-06-05,109938.664
2012-06-06,110587.1302
2012-06-07,111179.6912
2012-06-08,111582.3232
2012-06-09,112061.6593
2012-06-10,112064.1066
2012-06-11,112068.7449
